,How much do we make,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,who gets it,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,who gets it total,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,who gets it/per capita,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,total,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,How much should people get /cap,Unnamed: 40,by food,total.1,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,How much is needed (xpop),Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,plus waste,Unnamed: 56,Unnamed: 57,Unnamed: 58,How much is needed,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,overshoot/undershoot,Unnamed: 66,Unnamed: 67,Unnamed: 68,production from column 1,Unnamed: 70,Unnamed: 71,Unnamed: 72
0,,original,merged categories,animal feed %,biofuels %,total % redirected,adjusted totals,display totals,,,,region,food,% of supply / consumption,checksum,difference,total adjusted supply,old numbers,total adjusted supply (in new food groups),old numbers for check sum,new adjusted total,,,% of total,old total,% of world population,,,region,food,kg / capita,kg/cap (old),kg / capita (in new food groups),by food groups(old),new adjusted total,old total,calculation for chart,,,region,food,recommended consumption,total recommended consumption,over- or under- shoot,% over or under,calc for chart,overshoot/undershoot,,,,region,food,population,m tonnes,total,m Tonnes,total,,,food,m Tonnes,12.77,mTonnes,12.77,total waste,,,,,,,,
1,food,m Tonnes,,,,,,for the graphic,,,,,,live numbers,pre-check,,m tonnes,m tonnes,m tonnes,m tonnes,m tonnes,pixels,ratio,,m/tonnes,,,,,,,for checking,,for checking,kg / capita,kg/cap,ignore,,,,,kg/cap/year,kg/cap/year,,,SQRT,old,old,,,,,,,,,,,,,exc waste,pixels,inc. waste,pixels,,mTonnes,%,,,food,m Tonnes,,
40,,,,,,,,,,,,,Whole Grains,0.06951403846415136,0.0695,-1.4038464151350238e-05,88.98909148026799,185.39,88.98909148026799,185.39,,,,,,,,,,Whole Grains,228.49596165216778,476.0231352635876,228.49596165216778,476.0231352635876,,,,,,,Whole Grains,84.68,,143.81596165216777,1.698346264196596,13.032061480044499,391.3431352635876,4.6214352298486965,,,,Whole Grains,389455861,32.979122309480005,,42.872859002324006,,,,,,,,,,,,,,population,,,
41,,,,,,,,,,,,,Vegetables,0.05071496271744874,0.0507,-1.4962717448739615e-05,57.30790787071708,57.31,120.41367562599753,120.42,,,,,,,,,,Vegetables,147.14865947470508,147.15403140383088,309.1843972172177,309.2006362179256,,,,,,,Vegetables,182.5,,126.68439721721768,0.6941610806422887,8.331632977047708,126.70063621792559,0.6942500614680854,,,,Vegetables,389455861,71.0756946325,,92.39840302225001,,,,,,,,,,,,,,SUB SAHARAN AFRICA,643782928,,
42,,,,,,,,,,,,,Fruit,0.07146746065150673,0.0715,3.253934849326012e-05,63.105767755280446,63.11,,,,,,,,,,,,Fruit,162.03573774251262,162.0466048140947,,,,,,,,,Fruit,,,,,,0,,,,,Fruit,389455861,,,,,,,,,,,,,,,,,Middle East & North Africa,389455861,,
43,,,,,,,,,,,,,milk & Dairy,0.05192448905477078,0.0532,0.0012755109452292149,43.66849529506223,44.76,43.66849529506223,44.76,,,,,,,,,,milk & Dairy,112.12694343059901,114.92958376610487,112.12694343059901,114.92958376610487,,,,,,,milk & Dairy,91.25,,20.876943430599013,0.22878842115724946,4.783183261775044,23.67958376610487,0.2595022878477246,,,,milk & Dairy,389455861,35.53784731625,,46.199201511125004,,,,,,,,,,,,,,South Asia,1310898890,,
44,,,,,,,,,,,,,read meat,0.022032952941405795,0.022,-3.2952941405796354e-05,4.6709860235780285,4.67,4.6709860235780285,4.67,,,,,,,,,,read meat,11.993621078353803,11.991089280333105,11.993621078353803,11.991089280333105,,,,,,,read meat,5.11,,6.883621078353802,1.3470882736504504,11.60641319982384,6.8810892803331045,1.3465928141552064,,,,read meat,389455861,1.99011944971,,2.5871552846230004,,,,,,,,,,,,,,Europe & Central Asia,1046254720,,
45,,,,,,,,,,,,,Poultry,0.06461586943167735,0.0646,-1.5869431677348333e-05,8.658526503844765,8.66,16.50994890926443,16.509999999999998,,,,,,,,,,Poultry,22.232369238486736,22.236152712566316,42.3923493329182,42.392480517837164,,,,,,,Poultry,25.55,,16.8423493329182,0.659191754713041,8.119062474898447,16.842480517837163,0.6591968891521395,,,,Poultry,389455861,9.95059724855,,12.935776423115001,,,,,,,,,,,,,,N.America,331543147,,
46,,,,,,,,,,,,,Fish & Seafood,0.034273762115495564,0.0343,2.6237884504433373e-05,5.312433127901812,5.31,,,,,,,,,,,,Fish & Seafood,13.640655231792268,13.634407725603594,,,,,,,,,Fish & Seafood,,,,,,0,,,,,Fish & Seafood,389455861,,,,,,,,,,,,,,,,,East Asia & Pacific,2113393271,,
47,,,,,,,,,,,,,eggs,0.030627132418791975,0.0306,-2.713241879197595e-05,2.538989277517855,2.54,,,,,,,,,,,,eggs,6.519324862639196,6.5219200796672565,,,,,,,,,eggs,,,,,,0,,,,,eggs,389455861,,,,,,,,,,,,,,,,,Latin America & Caribbean,581130580,,
48,,,,,,,,,,,,,Legumes,0.040438604088149074,0.0404,-3.8604088149075955e-05,16.636441721864532,18.24,17.087317896314204,18.24,,,,,,,,,,Legumes,42.71714303938677,46.83457569020896,43.874851061271364,46.83457569020896,,,,,,,Legumes,45.625,,-1.7501489387286355,-0.03835942879405228,1.9585563253083196,1.2095756902089576,0.026511248004579893,,,,Legumes,389455861,17.768923658125,,23.099600755562502,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,nuts,0.08507097631125898,0.0851,2.902368874101169e-05,0.4508761744496726,,,,,,,,,,,,,nuts,1.157708021884597,,,,,,,,,,nuts,,,,,,,,,,,,389455861,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,Europe,Startch Veg,0.18216334109086932,0.1023,-0.07986334109086932,152.05174080854863,85.37,152.05174080854863,85.37,1169.389354109549,,,0.1958953329295362,1312.6899999999998,0.16305795069616957,,,Europe,Startch Veg,145.3295625835252,81.59580871472676,145.3295625835252,81.59580871472676,1117.6908756115806,1254.6562275006986,55.88454378057903,,,Europe,Startch Veg,18.25,452.96500000000003,127.07956258352519,6.963263703206859,26.38799670912299,63.34580871472676,3.471003217245302,,,Europe,Startch Veg,1046254720,19.09414864,473.9167692448001,24.822393232,616.0918000182402,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,Whole Grains,0.1411950902262028,0.1412,4.9097737971903754e-06,180.75230670397576,376.57,180.75230670397576,376.57,,,,,,,,,,Whole Grains,172.7612819791874,359.92191270592303,172.7612819791874,359.92191270592303,,,,,,,Whole Grains,84.68,,88.0812819791874,1.040166296400418,10.198854329778506,275.241912705923,3.2503768623750946,,,,Whole Grains,1046254720,88.5968496896,,115.17590459648001,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,Vegetables,0.14436662857348737,0.1444,3.337142651263503e-05,163.13429028804072,163.13,339.81882148403474,339.81,,,,,,,,,,Vegetables,155.9221546814534,155.91805406622203,324.79549672572534,324.78706523780363,,,,,,,Vegetables,182.5,,142.29549672572534,0.7797013519217827,8.830069942654944,142.28706523780363,0.7796551519879651,,,,Vegetables,1046254720,190.9414864,,248.22393232000002,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,Fruit,0.20009573181879275,0.2001,4.2681812072453695e-06,176.684531195994,176.68,,,,,,,,,,,,Fruit,168.87334204427196,168.8690111715816,,,,,,,,,Fruit,,,,,,0,,,,,Fruit,1046254720,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,milk & Dairy,0.41366893744998845,0.4279,0.014231062550011553,347.8955763954403,359.87,347.8955763954403,359.87,,,,,,,,,,milk & Dairy,332.51517985547565,343.9602164948895,332.51517985547565,343.9602164948895,,,,,,,milk & Dairy,91.25,,241.26517985547565,2.6440019710189113,16.26038736014278,252.7102164948895,2.7694270300809807,,,,milk & Dairy,1046254720,95.4707432,,124.11196616000001,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,read meat,0.2554070854329708,0.2554,-7.085432970788119e-06,54.14630211178981,54.15,54.14630211178981,54.15,,,,,,,,,,read meat,51.752504506541015,51.75603891182445,51.752504506541015,51.75603891182445,,,,,,,read meat,5.11,,46.642504506541016,9.127691684254602,30.21206991295797,46.64603891182445,9.12838334869363,,,,read meat,1046254720,5.3463616192000005,,6.950270104960001,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,Poultry,0.20850928142890707,0.2085,-9.281428907076394e-06,27.940243711473546,27.94,62.07699374626158,62.080000000000005,,,,,,,,,,Poultry,26.705010909268392,26.70477797223223,59.332581788746026,59.33545513658471,,,,,,,Poultry,25.55,,33.78258178874603,1.3222145514186312,11.498758852235449,33.785455136584716,1.322327011216623,,,,Poultry,1046254720,26.731808096,,34.7513505248,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,Fish & Seafood,0.12788100525737855,0.1279,1.8994742621458727e-05,19.821555814893674,19.82,,,,,,,,,,,,Fish & Seafood,18.94524864355563,18.943761610939255,,,,,,,,,Fish & Seafood,,,,,,0,,,,,Fish & Seafood,1046254720,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,eggs,0.17268026803250125,0.1727,1.9731967498742842e-05,14.315194219894355,14.32,,,,,,,,,,,,eggs,13.682322235922008,13.686915553413225,,,,,,,,,eggs,,,,,,0,,,,,eggs,1046254720,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,Legumes,0.07662610840727117,0.0766,-2.610840727117203e-05,31.523980998751362,34.839999999999996,32.64761285949814,34.839999999999996,,,,,,,,,,Legumes,30.130311860147557,33.2997302989467,31.204268172379795,33.2997302989467,,,,,,,Legumes,45.625,,-14.420731827620205,-0.3160708345779771,5.622017739014855,-12.325269701053301,-0.2701428975573326,,,,Legumes,1046254720,47.7353716,,62.055983080000004,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,nuts,0.21200601146165543,0.212,-6.011461655436312e-06,1.1236318607467737,,,,,,,,,,,,,nuts,1.0739563122322389,,,,,,,,,,nuts,,,,,,,,,,,,1046254720,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,L Am,Startch Veg,0.06968959980061304,0.0391,-0.030589599800613036,58.169908953571706,32.66,58.169908953571706,32.66,522.9555335778628,,,0.0876051658906941,608.7600000000001,0.09056873020527585,,,L Am,Startch Veg,100.09782819133646,56.20079397645878,100.09782819133646,56.20079397645878,899.8933313367587,1047.544254167454,44.994666566837935,,,L Am,Startch Veg,18.25,452.96500000000003,81.84782819133646,4.484812503634875,21.177375908348218,37.95079397645878,2.079495560353906,,,L Am,Startch Veg,581130580,10.605633085,263.2318131697,13.7873230105,342.20135712061006,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,Whole Grains,0.07619747484706631,0.0762,2.525152933696706e-06,97.54495940022039,203.22,97.54495940022039,203.22,,,,,,,,,,Whole Grains,167.85377117862288,349.69765315051916,167.85377117862288,349.69765315051916,,,,,,,Whole Grains,84.68,,83.17377117862287,0.9822126969605912,9.910664442713168,265.01765315051915,3.1296369054147277,,,,Whole Grains,581130580,49.2101375144,,63.973178768720004,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,Vegetables,0.03544530171558326,0.0354,-4.530171558325691e-05,40.053190938609085,40.05,139.55548332032,139.55,,,,,,,,,,Vegetables,68.92287605757916,68.91738514259566,240.1447938264065,240.13535821845755,,,,,,,Vegetables,182.5,,57.6447938264065,0.31586188398030957,5.62015910789285,57.635358218457554,0.3158101820189455,,,,Vegetables,581130580,106.05633085,,137.873230105,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,Fruit,0.11268662783885723,0.1127,1.3372161142763406e-05,99.50229238171093,99.5,,,,,,,,,,,,Fruit,171.22191776882732,171.2179730758619,,,,,,,,,Fruit,,,,,,0,,,,,Fruit,581130580,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,milk & Dairy,0.1487927642122435,0.1525,0.003707235787756502,125.13471470249678,128.25,125.13471470249678,128.25,,,,,,,,,,milk & Dairy,215.3297709827915,220.69050298471646,215.3297709827915,220.69050298471646,,,,,,,milk & Dairy,91.25,,124.0797709827915,1.3597783121401807,11.6609532720965,129.44050298471646,1.4185260601064817,,,,milk & Dairy,581130580,53.028165425,,68.9366150525,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,read meat,0.11859964312746471,0.1186,3.56872535287045e-07,25.143124343022517,25.14,25.143124343022517,25.14,,,,,,,,,,read meat,43.26587725433846,43.26050093595144,43.26587725433846,43.26050093595144,,,,,,,read meat,5.11,,38.15587725433846,7.466903572277586,27.325635532001055,38.15050093595144,7.465851455176407,,,,read meat,581130580,2.9695772638,,3.8604504429400004,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,Poultry,0.1929369132536341,0.1929,-3.691325363411324e-05,25.85354637598697,25.85,40.76265945534834,40.760000000000005,,,,,,,,,,Poultry,44.48835987255562,44.482257326744026,70.14371788066694,70.13914153338825,,,,,,,Poultry,25.55,,44.593717880666944,1.7453509933724831,13.211173276331225,44.58914153338826,1.745171879976057,,,,Poultry,581130580,14.847886319,,19.3022522147,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,Fish & Seafood,0.04721381054678067,0.0472,-1.381054678067234e-05,7.318140634751004,7.32,,,,,,,,,,,,Fish & Seafood,12.592936745388625,12.596136310706624,,,,,,,,,Fish & Seafood,,,,,,0,,,,,Fish & Seafood,581130580,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,eggs,0.09156782200977527,0.0916,3.217799022472989e-05,7.590972444610371,7.59,,,,,,,,,,,,eggs,13.062421262722692,13.060747895937606,,,,,,,,,eggs,,,,,,0,,,,,eggs,581130580,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,Legumes,0.08866596053466123,0.0887,3.4039465338767116e-05,36.47717616395963,39.18,36.64468340288299,39.18,,,,,,,,,,Legumes,62.769328304766944,67.4203033679625,63.057572022596005,67.4203033679625,,,,,,,Legumes,45.625,,17.432572022596005,0.3820837703582686,6.181292505279689,21.795303367962504,0.4777052792978083,,,,Legumes,581130580,26.5140827125,,34.46830752625,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,nuts,0.031605139419501785,0.0316,-5.139419501781761e-06,0.16750723892335945,,,,,,,,,,,,,nuts,0.28824371782906255,,,,,,,,,,nuts,,,,,,,,,,,,581130580,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,N Am,Startch Veg,0.0506462458401035,0.0284,-0.0222462458401035,42.2744214027344,23.73,42.2744214027344,23.73,398.9006883262333,,,0.06682358007696397,429.48,0.05167073092600137,,,N Am,Startch Veg,127.50805373375552,71.5743945085977,127.50805373375552,71.5743945085977,1203.1637267599235,1295.3970060494119,60.15818633799618,,,N Am,Startch Veg,18.25,452.96500000000003,109.25805373375552,5.986742670342768,24.46782105203234,53.324394508597706,2.9218846306080937,,,N Am,Startch Veg,331543147,6.05066243275,150.177441580855,7.865861162575,195.2306740551115,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,Whole Grains,0.034206793564014334,0.0342,-6.793564014333231e-06,43.790168848908586,91.23,43.790168848908586,91.23,,,,,,,,,,Whole Grains,132.07984916940114,275.16780493128397,132.07984916940114,275.16780493128397,,,,,,,Whole Grains,84.68,,47.399849169401136,0.5597525882073823,7.481661501347025,190.48780493128396,2.249501711517288,,,,Whole Grains,331543147,28.075073687960003,,36.49759579434801,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,Vegetables,0.0395995344125298,0.0396,4.655874702025331e-07,44.74747388615867,44.75,90.91942724299159,90.92,,,,,,,,,,Vegetables,134.9672713523428,134.97489061355867,274.2310557937474,274.23278334267604,,,,,,,Vegetables,182.5,,91.73105579374737,0.5026359221575198,7.089682095535172,91.73278334267604,0.5026453881790468,,,,Vegetables,331543147,60.5066243275,,78.65861162575,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,Fruit,0.052289867901283024,0.0523,1.0132098716975069e-05,46.17195335683291,46.17,,,,,,,,,,,,Fruit,139.26378444140457,139.2578927291174,,,,,,,,,Fruit,,,,,,0,,,,,Fruit,331543147,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,milk & Dairy,0.16627350118493034,0.1667,0.00042649881506964804,139.83601449652642,140.21,139.83601449652642,140.21,,,,,,,,,,milk & Dairy,421.77320135205935,422.901215931331,421.77320135205935,422.901215931331,,,,,,,milk & Dairy,91.25,,330.52320135205935,3.6221720696116093,19.03200480667134,331.651215931331,3.634533873220066,,,,milk & Dairy,331543147,30.25331216375,,39.329305812875,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,read meat,0.11523357996288809,0.1152,-3.3579962888094506e-05,24.429518952132277,24.43,24.429518952132277,24.43,,,,,,,,,,read meat,73.68428264370753,73.68573357964779,73.68428264370753,73.68573357964779,,,,,,,read meat,5.11,,68.57428264370753,13.419624783504409,36.63280603981138,68.57573357964779,13.419908724001523,,,,read meat,331543147,1.6941854811700001,,2.202441125521,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,Poultry,0.17696152820196115,0.177,3.84717980388416e-05,23.712844779062795,23.71,38.413547620458445,38.410000000000004,,,,,,,,,,Poultry,71.5226509539731,71.51407053513913,115.8628913553096,115.8521910271908,,,,,,,Poultry,25.55,,90.3128913553096,3.5347511293663247,18.800933831505084,90.3021910271908,3.5343323298313423,,,,Poultry,331543147,8.47092740585,,11.012205627605,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,Fish & Seafood,0.05644259826797192,0.0564,-4.259826797192029e-05,8.748602731535648,8.75,,,,,,,,,,,,Fish & Seafood,26.387523948838094,26.391738388125997,,,,,,,,,Fish & Seafood,,,,,,0,,,,,Fish & Seafood,331543147,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,eggs,0.07179855379806993,0.0718,1.4462019300720552e-06,5.952100109859997,5.95,,,,,,,,,,,,eggs,17.952716452498407,17.94638210392568,,,,,,,,,eggs,,,,,,0,,,,,eggs,331543147,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,Legumes,0.04562776077530186,0.0456,-2.776077530185911e-05,18.771260782959185,20.549999999999997,19.23758976248153,20.549999999999997,,,,,,,,,,Legumes,56.61785186275977,61.98288272868447,58.024392711943264,61.98288272868447,,,,,,,Legumes,45.625,,12.399392711943264,0.2717675114946469,5.213132565882503,16.357882728684473,0.3585289365191117,,,,Legumes,331543147,15.126656081875,,19.6646529064375,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,nuts,0.0879865999098767,0.088,1.3400090123294461e-05,0.4663289795223465,,,,,,,,,,,,,nuts,1.4065408491834894,,,,,,,,,,nuts,,,,,,,,,,,,331543147,,,,,,,,,,,,,,,,,,,,
